booth_number,company_name,show_type,product_name,company_url,country,country_code,country_code_lower,flag_url
2C-30,Alkem Activa,Ingredients,3 cef novo 375 injection,detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-30,Alkem Activa,Ingredients,3 cef novo 375 injection,detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-30,Alkem Activa,Ingredients,3 cef novo 750 injection,detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-30,Alkem Activa,Ingredients,3 cef novo 750 injection,detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-30,Alkem Activa,Ingredients,3 cef novo 750 injection,detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-30,Alkem Activa,Ingredients,A to Z gold ns soft gelatin caps (15s),detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-30,Alkem Activa,Ingredients,A to Z gold ns soft gelatin caps (15s),detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-30,Alkem Activa,Ingredients,A to Z gold ns soft gelatin caps (15s),detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-30,Alkem Activa,Ingredients,A to Z ns drops 15ml,detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-30,Alkem Activa,Ingredients,A to Z ns drops 15ml,detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-30,Alkem Activa,Ingredients,A to Z ns drops 15ml,detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
1E-10,Almac,Outsourcing,not provided,detail.php?exid=C14016659&sidSuffix=s20260203221243470&previous=,UNITED KINGDOM,GB,gb,https://flagcdn.com/w40/gb.png
1E-10,Almac,Outsourcing,not provided,detail.php?exid=C14016659&sidSuffix=s20260203221243470&previous=,UNITED KINGDOM,GB,gb,https://flagcdn.com/w40/gb.png
2A-45,Almelo Private Limited,Ingredients,not provided,detail.php?exid=CF26167831&sidSuffix=s20260203221243470&previous=,NA,IN,in,NA
2H-25,"Alps Pharmaceutical Ind. Co., Ltd.",Ingredients,Gomiren Alice Tang extract,detail.php?exid=C14016191&sidSuffix=s20260203221243470&previous=,NA,JP,jp,NA
2H-25,"Alps Pharmaceutical Ind. Co., Ltd.",Ingredients,Kinikawamogusayu extract,detail.php?exid=C14016191&sidSuffix=s20260203221243470&previous=,NA,JP,jp,NA
2H-25,"Alps Pharmaceutical Ind. Co., Ltd.",Ingredients,Keishi hoelen Maru-ryo addition yi hot water,detail.php?exid=C14016191&sidSuffix=s20260203221243470&previous=,NA,JP,jp,NA
2H-25,"Alps Pharmaceutical Ind. Co., Ltd.",Ingredients,Angelica peony extract Chi-ryo,detail.php?exid=C14016191&sidSuffix=s20260203221243470&previous=,NA,JP,jp,NA
2H-25,"Alps Pharmaceutical Ind. Co., Ltd.",Ingredients,Yi hot water extract,detail.php?exid=C14016191&sidSuffix=s20260203221243470&previous=,NA,JP,jp,NA
3G-35,"ALTECH Co., LTD.",Machinery/Equipment,not provided,detail.php?exid=CF26130872&sidSuffix=s20260203221243470&previous=,NA,JP,jp,NA
2C-34,Amar Impex,Ingredients,not provided,detail.php?exid=C18177254&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-34,Amar Impex,Ingredients,not provided,detail.php?exid=C18177254&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-34,Amar Impex,Ingredients,not provided,detail.php?exid=C18177254&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
3C-46,"Amatek Chemical Co., Ltd.",Ingredients,not provided,detail.php?exid=CF25109642&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png
3C-46,"Amatek Chemical Co., Ltd.",Ingredients,not provided,detail.php?exid=CF25109642&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png
2E-04,Ami Lifesciences Pvt Ltd,Ingredients,not provided,detail.php?exid=C18110690&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
IT-16,AMSA,Ingredients,not provided,detail.php?exid=CF24110407&sidSuffix=s20260203221243470&previous=,NA,IT,it,NA
1H-41,"Anhui Chuangyu New Material Technology.,Ltd",Ingredients,not provided,detail.php?exid=CF26108909&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
3B-30,"Anhui Guangxin Agrochemical Co., Ltd.",Ingredients,not provided,detail.php?exid=CF26199985&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
3C-36,"Anhui Heryi Pharmaceutical Co.,Ltd",Ingredients,not provided,detail.php?exid=C17199632&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
3A-29,"Anhui Royal Chemical Co., Ltd.",Ingredients,not provided,detail.php?exid=CF25161185&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
1A-06,Anshul Specialty Molecules Pvt Ltd,Outsourcing,not provided,detail.php?exid=CF26153121&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2F-45,ANUH PHARMA LTD.,Ingredients,not provided,detail.php?exid=CF24115421&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2F-45,ANUH PHARMA LTD.,Ingredients,not provided,detail.php?exid=CF24115421&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2H-04,ANUPAM RASAYAN INDIA  LIMTED,Ingredients,not provided,detail.php?exid=C14016852&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
1E-36,"Anxo Pharmaceutical Co., Ltd.",Ingredients,not provided,detail.php?exid=C20131060&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png
2J-08,"Apeloa Pharmaceutical Co.,Ltd",Ingredients,not provided,detail.php?exid=C14017384&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
3B-04,"API Co.,Ltd.",Ingredients,not provided,detail.php?exid=C17100196&sidSuffix=s20260203221243470&previous=,NA,JP,jp,NA
2B-04,Apitoria Pharma Private Limited,Ingredients,not provided,not provided,NA,IN,in,NA
3F-42,"AR BROWN Co., Ltd.",Ingredients,not provided,detail.php?exid=CF25186200&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3F-42,"AR BROWN Co., Ltd.",Ingredients,not provided,detail.php?exid=CF25186200&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
2C-26,ARAGEN LIFE SCIENCES,Ingredients,not provided,detail.php?exid=CF26181832&sidSuffix=s20260203221243470&previous=,NA,IN,in,NA
3H-24,Aral Research Private Limited,Outsourcing,not provided,detail.php?exid=CF26152351&sidSuffix=s20260203221243470&previous=,NA,IN,in,NA
1A-21,Ardena Holding NV,Outsourcing,not provided,detail.php?exid=CF26125935&sidSuffix=s20260203221243470&previous=,NA,BE,be,NA
1G-32,Arysta Health and Nutrition Science Corporation,Ingredients,not provided,detail.php?exid=C14015839&sidSuffix=s20260203221243470&previous=,NA,JP,jp,NA
2H-06,"Asahi Chemical Co.,Ltd.",Ingredients,not provided,detail.php?exid=CF23155348&sidSuffix=s20260203221243470&previous=,NA,JP,jp,NA
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Glass reaction systems,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Glass reaction systems,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Glass reaction systems,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Filter Reactor,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Filter Reactor,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Filter Reactor,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Nutsche Filter,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Nutsche Filter,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Nutsche Filter,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Concentration,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Concentration,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Concentration,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Industrial Evaporation,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Industrial Evaporation,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3E-36,Asahi Glassplant Inc.,Machinery/Equipment,Industrial Evaporation,detail.php?exid=C14018205&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
1H-34,ASAHI KASEI CORPORATION,Ingredients,not provided,detail.php?exid=C19182857&sidSuffix=s20260203221243470&previous=,NA,JP,jp,NA
1B-47,"ASAHI TECHNO RESEARCH Co., LTD",Outsourcing,not provided,detail.php?exid=CF26139303&sidSuffix=s20260203221243470&previous=,NA,JP,jp,NA
1G-46,"Asambly Chemicals Co., Ltd.",Ingredients,not provided,detail.php?exid=C17138426&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
2E-31,Ascensus Specialties,Ingredients,not provided,detail.php?exid=CF23198767&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
2E-31,Ascensus Specialties,Ingredients,not provided,detail.php?exid=CF23198767&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
2E-31,Ascensus Specialties,Ingredients,not provided,detail.php?exid=CF23198767&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
IT-01,ASCHIMFARMA,Ingredients,not provided,detail.php?exid=C14016391&sidSuffix=s20260203221243470&previous=,NA,RU,ru,NA
3G-03,Asimov,Bio Pharma,not provided,detail.php?exid=CF26149874&sidSuffix=s20260203221243470&previous=,NA,US,us,NA
3C-28,AstaTech (Chengdu) BioPharmaceutical Corp.,Ingredients,not provided,detail.php?exid=C14018047&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
1C-20,"Asymchem Laboratories (Tianjin) Co., Ltd.",Outsourcing,not provided,detail.php?exid=C14016767&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png
1C-20,"Asymchem Laboratories (Tianjin) Co., Ltd.",Outsourcing,not provided,detail.php?exid=C14016767&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png
2E-42,"ATTO CO., LTD.",Ingredients,not provided,detail.php?exid=C18179236&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
2E-42,"ATTO CO., LTD.",Ingredients,not provided,detail.php?exid=C18179236&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
2E-42,"ATTO CO., LTD.",Ingredients,not provided,detail.php?exid=C18179236&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
1D-22,Aurigene Pharmaceutical Services Ltd.,Outsourcing,not provided,detail.php?exid=CF21192087&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-21,"Aurisco Pharmaceutical Co., Ltd",Ingredients,not provided,detail.php?exid=C17160350&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png
2C-21,"Aurisco Pharmaceutical Co., Ltd",Ingredients,not provided,detail.php?exid=C17160350&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png
2B-04,Aurobindo Pharma Japan K.K.,Ingredients,not provided,detail.php?exid=C14018982&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
2B-04,Aurobindo Pharma Japan K.K.,Ingredients,not provided,detail.php?exid=C14018982&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
2B-04,Aurobindo Pharma Japan K.K.,Ingredients,not provided,detail.php?exid=C14018982&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
2B-42,"Autran Japan Co.,Ltd.",Ingredients,not provided,detail.php?exid=C19197688&sidSuffix=s20260203221243470&previous=,NA,JP,jp,NA
2K-38,"Avery Chemical (Nantong) Co., Ltd.",Ingredients,not provided,detail.php?exid=CF26194322&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png
3F-24,"Baishixing Science and Technology Industry Co.,ltd",Bio Pharma,not provided,detail.php?exid=CF26155329&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
1D-31,"BBchem Co., Ltd.",Outsourcing,not provided,detail.php?exid=C14018902&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png
1D-31,"BBchem Co., Ltd.",Outsourcing,not provided,detail.php?exid=C14018902&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png
1D-31,"BBchem Co., Ltd.",Outsourcing,not provided,detail.php?exid=C14018902&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png
2D-33,BCN PEPTIDES,Ingredients,not provided,detail.php?exid=C14018129&sidSuffix=s20260203221243470&previous=,SPAIN,ES,es,https://flagcdn.com/w40/es.png
3C-42,BDR Pharmaceuticals Internationals Pvt. Ltd.,Ingredients,not provided,detail.php?exid=CF26196067&sidSuffix=s20260203221243470&previous=,NA,IN,in,NA
3C-20,"BEIJING HUIKANG BOYUAN CHEMICAL TECH CO., LTD.",Ingredients,not provided,detail.php?exid=C18157511&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
2J-21,"Beijing Lianben Pharm-chemicals Tech. Co.,Ltd.",Ingredients,not provided,detail.php?exid=C14018329&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
1B-03,"Beijing Odyssey Chemicals Co.,Ltd.",Outsourcing,not provided,detail.php?exid=C14016374&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
3H-05,"Beijing Tide Pharmaceutical Co., Ltd.",Ingredients,not provided,detail.php?exid=CF26165613&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
2F-04,"Bellen Chemistry Co., Ltd.",Ingredients,not provided,not provided,CHINA,CN,cn,https://flagcdn.com/w40/cn.png
2F-04,"Bellen Chemistry Co., Ltd.",Ingredients,not provided,not provided,CHINA,CN,cn,https://flagcdn.com/w40/cn.png
1B-04,"Benepure Pharmaceutical Co., Ltd.",Ingredients,not provided,detail.php?exid=CF24191829&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
3F-21,Bio-Rad Laboratories,Bio Pharma,not provided,detail.php?exid=C14018835&sidSuffix=s20260203221243470&previous=,NA,US,us,NA
3A-02,BioBridge K.K.,Ingredients,not provided,detail.php?exid=C15130829&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3A-02,BioBridge K.K.,Ingredients,not provided,detail.php?exid=C15130829&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3A-02,BioBridge K.K.,Ingredients,not provided,detail.php?exid=C15130829&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3G-22,Biocon,Bio Pharma,not provided,detail.php?exid=CF25141216&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-22,BIOMED INGREDIENTS PVT LTD,Ingredients,not provided,detail.php?exid=CF25122248&sidSuffix=s20260203221243470&previous=,NA,IN,in,NA
3F-30,bioMérieux Japan Ltd.,Bio Pharma,not provided,detail.php?exid=CF26187897&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3H-08,"BIZEN CHEMICAL CO., LTD.",Ingredients,not provided,detail.php?exid=CF23174315&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3H-08,"BIZEN CHEMICAL CO., LTD.",Ingredients,not provided,detail.php?exid=CF23174315&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
2E-36,Bloomage Biotechnology Corporation Limited,Ingredients,not provided,detail.php?exid=C14018891&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
1A-31,Bluejet Healthcare,Outsourcing,not provided,detail.php?exid=CF25169433&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
1D-47,Bora Pharmaceuticals,Outsourcing,"Liquid Contract Manufacturing - solutions,",detail.php?exid=CF26135525&sidSuffix=s20260203221243470&previous=,NA,TW,tw,NA
1D-47,Bora Pharmaceuticals,Outsourcing,"Semi-Solid Contract Manufacturing - Creams,",detail.php?exid=CF26135525&sidSuffix=s20260203221243470&previous=,NA,TW,tw,NA
1D-47,Bora Pharmaceuticals,Outsourcing,Solid Dose Contract Manufacturing,detail.php?exid=CF26135525&sidSuffix=s20260203221243470&previous=,NA,TW,tw,NA
1H-46,"Brother Enterprises Holding Co., Ltd.",Ingredients,not provided,detail.php?exid=CF26125498&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
1E-47,BSP Pharmaceuticals spa,Outsourcing,Clinical and Commercial supply services,detail.php?exid=CF26172644&sidSuffix=s20260203221243470&previous=,NA,IT,it,NA
1E-47,BSP Pharmaceuticals spa,Outsourcing,Sterile suites capabilities,detail.php?exid=CF26172644&sidSuffix=s20260203221243470&previous=,NA,IT,it,NA
1E-47,BSP Pharmaceuticals spa,Outsourcing,Oral capabilities,detail.php?exid=CF26172644&sidSuffix=s20260203221243470&previous=,NA,IT,it,NA
1E-47,BSP Pharmaceuticals spa,Outsourcing,ADCs Manufacturing services,detail.php?exid=CF26172644&sidSuffix=s20260203221243470&previous=,NA,IT,it,NA
1E-47,BSP Pharmaceuticals spa,Outsourcing,Quality control laboratories services,detail.php?exid=CF26172644&sidSuffix=s20260203221243470&previous=,NA,IT,it,NA
2C-33,CADILA PHARMACEUTICALS LIMITED,Ingredients,not provided,detail.php?exid=C14017426&sidSuffix=s20260203221243470&previous=,NA,IN,in,NA
2B-34,Cambrex,Ingredients,not provided,detail.php?exid=CF24127728&sidSuffix=s20260203221243470&previous=,ITALY,IT,it,https://flagcdn.com/w40/it.png
2B-34,Cambrex,Ingredients,not provided,detail.php?exid=CF24127728&sidSuffix=s20260203221243470&previous=,ITALY,IT,it,https://flagcdn.com/w40/it.png
2E-46,"Capot Chemical Co.,Ltd.",Ingredients,not provided,detail.php?exid=CF24175887&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
1C-38,Carbogen Amcis,Outsourcing,not provided,detail.php?exid=CF25112975&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
1C-38,Carbogen Amcis,Outsourcing,not provided,detail.php?exid=CF25112975&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
1H-10,"Careplusone Co.,Ltd.",Ingredients,not provided,detail.php?exid=C17146537&sidSuffix=s20260203221243470&previous=,NA,KR,kr,NA
2C-45,CATO Research Chemicals Inc.,Ingredients,not provided,detail.php?exid=CF26118045&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png
2K-04,"CBC CO., Ltd.",Ingredients,not provided,detail.php?exid=C14016224&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
2K-04,"CBC CO., Ltd.",Ingredients,not provided,detail.php?exid=C14016224&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
2K-04,"CBC CO., Ltd.",Ingredients,not provided,detail.php?exid=C14016224&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
2H-48,CC Biotechnology Corporation (CCBio),Formulation ＆ Packaging,not provided,detail.php?exid=CF25188099&sidSuffix=s20260203221243470&previous=,NA,TW,tw,NA
